ASTAP/CCDCIEL DEEPSKY DATABASE (extract from HNSKY database), 30000 objects. Based on SAC81, Wolfgang Steinicke's REV NGC&IC, Leda, Sh2,vdB,HCG,LND,PK.DWB, Barnard's DN. GX>=1_arcmin. IAU named stars included. GC of M31, M33 added. Version 2024-05-17.
RA[0..864000], DEC[-324000..324000], name(s), length [0.1 min], width[0.1 min], orientation[degrees]
781257,184283,Azelfafage/π1_Cyg
717504,-94678,Terebellum/ω_Sgr
716549,30461,Libertas/ξ_Aql
68118,69458,Mesarthim/γ1_Ari
102623,-75614,Angetenar/τ2_Eri
732398,-45933,Alshat/ν_Cap
778651,-28275,Bunda/ξ_Aqr
117500,-31751,Zibal/ζ_Eri
663591,236029,Fafnir/42_Dra
520921,-8021,Elgafar/ϕ_Vir
473993,63106,Diadem/α_Com
680502,-81881,Ainalrami/ν1_Sgr
49404,163904,Adhil/ξ_And
275499,124504,Jishui/ο_Gem
356922,-68434,Felis/-_Hya
220516,-134111,Elkurud/θ_Col
580845,61369,Marsic/κ_Her
395680,145549,Chalawan/47_UMa
814654,-15221,Situla/κ_Aqr
137512,86892,Pleione/28_Tau
621211,-95756,Guniibuu/36_Oph
638487,-186603,Cervantes/μ_Ara
44239,27271,Revati/ζ_Psc
846774,141250,Veritate/14_And
465285,235579,Taiyi/8_Dra
341200,164165,Intercrus/-_UMa
459078,163585,La_Superba/Y_CVn
460543,240445,Tianyi/7_Dra
134882,87442,Celaeno/16_Tau
761268,-320243,Polaris_Australis/σ_Oct
755059,39021,Musica/18_Del
826480,74768,Helvetios/51_Peg
615201,196092,Alrakis/μ_Dra
329615,79364,Nahn/ξ_Cnc
638392,193686,Alruba/-_Dra
135545,88396,Asterope/21_Tau
533587,166018,Merga/38_Boo
435151,276861,Tonatiuh/-_Cam
300321,86480,Piautos/λ_Cnc
319558,101991,Copernicus/55_Cnc
312270,70361,Meleph/ε_Cnc
83608,-10720,Mira/ο_Cet
594296,138050,Ogma/-_Her
646690,16806,Barnard's_Star/V2500_Oph
521829,-225646,Proxima_Centauri/α_Cen
201600,-3600,Cr70,1500
194160,-251100,LMC/PGC17223,4200,3000,120
160200,57600,Hyades/Mel25,3300
290160,-166560,Cr173,3700
591600,-94380,Cr302,5000
136200,86820,M45/Pleiades/Mel22,1000
122580,179520,Mel20/Cr39,1850
385765,-231819,IC2602,1000
447060,94020,Mel111/Cr256,2750
262440,-132600,Cr135,500
31580,-262080,SMC/NGC292/PGC3085,3191,2051,45
201250,-21294,NGC1980,140
249780,-89040,Cr121,500
312180,-190500,IC2391,600
608498,-150570,NGC6231/Table_Of_Scorpius,140
201060,35500,Cr69,650
279240,-136620,NGC2451,500
195660,60120,Cr65,2200
648660,10440,Mel186/Cr359,2400
387060,-215520,NGC3372/Keyhole_Nebula,1200
399400,-211440,NGC3532,500
658140,-67140,M24/IC4715,1200,450,45
312240,70812,M44/NGC2632/Beehive_Cluster,700
644300,-125256,M7/NGC6475,750
609300,-147000,Cr316,1050
25643,148568,M31/NGC224/Andromeda_Galaxy,1891,617,35
266700,-114660,Cr140/Tuft_In_The_Tail_Of_The_Dog,600
779340,206960,IC1396,1700,1400
699900,72300,Coathanger/Cr399,1400,500,90
261240,-110460,Cr132,800
263214,-89835,NGC2362,60
286840,-218712,NGC2516,220
680700,132840,Steph1,200
403020,-217140,Cr240,250
201171,-19405,M42/NGC1976/Orion_Nebula,400,350
14452,-259489,NGC104/47_Tucanae,500
240582,35624,NGC2264/Christmas_Tree_Cluster,400
187560,266280,Cr464,1200
193500,147600,Cr62,280
639720,20580,IC4665,700
636200,-116130,M6/NGC6405/Butterfly_Cluster,330
201120,-15960,NGC1981,280
232350,-17130,NGC2232,450
361560,-216360,NGC3114,350
464190,-217302,NGC4755/Jewel_Box_Cluster,100
376461,-207452,IC2581,50
386400,-216300,Cr228,150
273950,-52127,M47/NGC2422,250
80820,214140,Stock2,600
2580,-107760,Blanco1,890
417473,-226871,IC2944/Running_Chicken_Nebula,400,200
243600,-74724,M41/NGC2287,390
238260,21420,Cr106,450
313500,-173190,IC2395,130
671340,19560,IC4756,400
667050,-68832,M25/IC4725,260
775120,174330,M39/NGC7092,310
650700,-87690,NGC6530,150
664351,23430,NGC6633,200
316680,-152940,Tr10/Cr203,150
399600,-215280,Fein1,300
294090,-177210,NGC2547,250
381510,-209628,NGC3293,50
235150,17796,NGC2239/NGC2244/Cr99,240
142500,227040,Kemble1,1800
650220,-87768,M8/NGC6523/Lagoon_Nebula,450,300
144700,131256,NGC1499/California_Nebula/Sh2-220,2000,600,120
755580,159700,NGC7000/North_America_Nebula/Sh2-117,1300,1100,10
387060,-214980,Tr16/Cr233,100
238620,17040,Cr107,350
221400,87660,M35/NGC2168,250
577977,-217553,NGC6025,150
779400,207000,Tr37/Cr439,500
669842,-86050,M22/NGC6656,320
97250,153942,M34/NGC1039,250
600803,-175548,NGC6193,140
723870,128844,NGC6871,300
729180,-285420,Mel227/Cr411,500
417743,-221796,NGC3766,150
484070,-170931,NGC5139/Omega_Centauri_Cluster,550
636413,-193223,NGC6397,310
690518,-215933,NGC6752,290
83440,205686,NGC869/h_Persei_Cluster,180
705480,90660,Stock1,600
730860,146640,Cr419,45
234600,21000,Cr97,210
590155,-95489,M4/NGC6121,360
244978,147884,NGC2281,250
